Time;s,ICE_Speed;rpm,ICE_Torque;Nm,ICE_Power;kW,fuel_soll;mg,VTG;1,p_amb;bar,T_amb;K,NO_in_m;gps,NO2_in_m;gps,CO_in_m;gps,NH3_in_m;gps,CO2_in_m;gps,Propylene_in_m;gps2,Diesel_vap_in_m;gps,Diesel_vap_ads_in_m;gps,O2_in_m;gps,N2_in_m;gps,NO_out_m;gps,NO2_out_m;gps,CO_out_m;gps,NH3_out_m;gps,CO2_out_m;gps,Propylene_out_m;gps,Diesel_vap_out_m;gps,Diesel_vap_ads_out_m;gps,T_Wall_SCR1;K,T_avg_SCR1;K,T_Wall_DOC;K,T_avg_DOC;K,T_Wall_DPF;K,T_Sub_DPF;K,T_Wall_SCR2;K,T_avg_SCR2;K,T_Wall_SCR3;K,T_avg_SCR3;K,T_Tailpipe;K,ICE_BSFC;bar,ICE_IMEP_720;bar,ICE_BMEP;bar,Cyl_pmax;bar,Cyl_Tmax;K,Cyl_10_90;CA,mfb50;CA,Cyl_Lambda;1,CombEff;perc,Turb_Speed;rpm,Turb_Power;kW,Turb_Torque;Nm,Turb_brake_Power;kW,fuel_mf_c1;gps,fuel_mf_c2;gps,fuel_mf_c3;gps,fuel_mf_c4;gps,THC_out_m;gps,THC_in_m;gps,NOx_in_m;gps,NOx_out_m;gps,tot_burned_fuel;gps
0.0,936.00854,-21.477022,-2.1051474,46.008675,0.58,0.98235655,300.5076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.777778,0.0,0.0,0.0,6e-10,0.0,0.0,0.0,0.0,300.5076,300.4586,300.5076,300.73676,300.5076,300.5078,300.5076,300.54202,300.5076,300.53964,300.47995,-2085.9194,-0.72901684,-1.3710732,32.45485,678.7328,0.0,0.0,1.0206902,0.0,15152.816,0.019318081,0.012175852,0.0074496344,0.2772009,0.31313175,0.31888384,0.3109488,0.0,0.0,0.0,0.0,1.22016529
0.5,936.00854,35.31629,3.461653033333,46.008675,0.58,0.98235655,300.5076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.777778,0.0,0.0,0.0,6.11e-10,0.0,0.0,0.0,3e-12,300.441746666667,305.432313333333,300.499856666667,300.044866666667,300.5076,300.508006666667,300.50933,300.509483333333,300.508916666667,300.516396666667,300.432503333333,-1354.085603333333,2.83768557,2.254559433333,70.876641666667,1312.401566666667,2.744584333333,0.072930066667,1.0380882,413.812633333333,18156.94366666667,0.038738096667,0.019763296667,-0.00192322652,0.254672973333,0.251627136667,0.25306002,0.253859503333,3e-12,0.0,0.0,0.0,1.013219633333
1.0,936.00854,156.5990625,15.3496185,46.008675,0.3695340775,0.98235655,300.5076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.62933775,0.0,0.0,0.0,1.485e-09,0.0,0.0,0.0,8.79e-10,305.5756675,344.5606275,300.4446025,299.771065,300.5076,300.5080325,300.5081675,300.492945,300.5085225,300.490305,300.424265,258.727455,10.887318625,9.997138875,92.0353925,2263.3943,18.791236,9.655663,1.22587405,99.8879175,23355.60325,0.0608510705,0.024742839,0.03834443175,0.2737765325,0.2742998375,0.2745454225,0.2732399,8.79e-10,0.0,0.0,0.0,1.0958616925
1.5,936.00854,167.4727525,16.41544375,46.008675,0.23,0.98235655,300.5076,0.017541212,0.001414951,0.0049437395,0.0,0.0,0.00325255305,0.00718567375,0.00718567375,0.2787854975,17.73582125,1.375281e-06,2.0197e-08,0.000916191558,3.993e-09,2.5886e-08,0.000603547375,0.00133450858,0.000183639837,315.5158675,355.79154,300.354665,299.1125375,300.5076,300.5075775,300.505945,300.5020975,300.50646,300.503535,300.47637,242.1439925,11.54724925,10.691305875,95.9993815,2372.689925,18.85902775,10.100525,1.145334925,99.9394575,26508.04975,0.085266285,0.0306693225,0.0668780225,0.275705695,0.276328865,0.2766935675,0.27540169,0.002121695792,0.01762390055,0.018956163,1.395479e-06,1.1041298175
2.0,936.00854,168.284165,16.49497575,46.008675,0.23,0.98235655,300.5076,0.03504233175,0.002826667825,0.010020014375,0.0,0.0,0.006500736,0.0143616925,0.0143616925,0.5544738025,17.481677,0.007069259427,1.697103e-06,0.009720470875,3.99e-09,1.0489e-07,0.0063707281,0.01407347325,0.001765397175,324.427335,363.187175,300.2339125,299.0870825,300.5076,300.5067275,300.505535,300.5019375,300.5064925,300.504595,300.4770725,241.2484575,11.60066625,10.74310525,96.1876725,2378.074275,18.930999,10.12271475,1.146424225,99.936325,27959.351000000002,0.08953882125,0.030555763,0.084328246,0.27600274,0.276760345,0.2770655375,0.27555629,0.022209598525,0.035224121,0.037868999575,0.00707095653,1.1053849125
2.5,936.00854,168.2940275,16.49594275,46.008675,0.23,0.98235655,300.5076,0.0349883725,0.0028223154,0.010249650625,0.0,0.0,0.006445684675,0.0142400715,0.0142400715,0.5523868175,17.46958325,0.03167628675,4.82063e-07,0.01019338825,3.986e-09,8.2618e-08,0.00647421685,0.0143030805,0.00213993075,332.66316,369.8219125,300.1474975,299.2538275,300.5076,300.50589,300.5049625,300.5013175,300.5064625,300.504455,300.4771425,240.8847125,11.601453625,10.743735125,96.22014625,2382.262725,19.006296,10.09371575,1.146794375,99.9330625,28329.61725,0.09035073225,0.0304341755,0.08900978275,0.27565316,0.2763281975,0.2767073425,0.274953495,0.0229172281,0.034925827675,0.0378106879,0.031676768813,1.103642195
3.0,936.00854,167.6832725,16.43607775,46.008675,0.23,0.98235655,300.5076,0.0348096275,0.002807896875,0.010389416125,0.0,0.0,0.006433809125,0.014213835375,0.014213835375,0.5540785525,17.42162375,0.03287275575,4.80582e-07,0.01032880625,3.976e-09,8.3216e-08,0.006439140725,0.01422559475,0.00248389465,340.466345,376.0007825,300.089575,299.4734325,300.5076,300.505105,300.50435,300.500745,300.5063625,300.5044275,300.477335,241.031235,11.5624355,10.70474525,96.149034,2379.907975,19.25512025,10.0734175,1.140417125,99.80677525,28409.2455,0.09012612775,0.03027468025,0.0900178035,0.27375556,0.2737569725,0.2742519425,0.2728468975,0.023148630125,0.034861479875,0.037617524375,0.032873236332,1.0946113725
3.5,936.00854,164.8242825,16.1558435,46.008675,0.23,0.98235655,300.5076,0.034319332,0.002768347575,0.010514808,0.0,0.0,0.006479331275,0.014314405,0.014314405,0.5137537875,17.4050495,0.032705355,4.79086e-07,0.01043855925,3.963e-09,8.3422e-08,0.00645092075,0.0142516265,0.0028313509,347.8407225,381.31414,300.056645,299.71816,300.5076,300.5043975,300.5037725,300.500215,300.5062725,300.5043575,300.477835,241.1830325,11.3780905,10.52222975,95.667769,2359.987925,19.2971585,10.018107875,1.1180716,98.79635875,28392.584499999997,0.0895320335,0.03009328625,0.08990645275,0.267035245,0.2662882525,0.2666478025,0.2655192025,0.02353389815,0.035108141275,0.037087679575,0.032705834086,1.0654905025
4.0,936.00854,160.1171275,15.6944545,46.008675,0.23,0.98235655,300.5076,0.03315974025,0.002674809875,0.011097355,0.0,0.0,0.00645468985,0.01425996625,0.01425996625,0.4811363125,17.36039525,0.03231337925,4.76979e-07,0.010823027375,3.946e-09,7.8709e-08,0.006461620575,0.01427525375,0.003167671,354.682265,385.719775,300.04708,299.9817725,300.5076,300.50378,300.5032025,300.4999575,300.5061625,300.5044425,300.4786125,241.37611,11.06839625,10.221729125,93.75753625,2327.715875,19.24215775,9.93626225,1.109899275,98.4339175,28326.0745,0.0886307175,0.02986053,0.089206034,0.2600735375,0.260581945,0.2607443625,0.2591503925,0.023904545325,0.03497462235,0.035834550125,0.032313856229,1.0405502375
4.5,936.00854,157.65996,15.4536065,46.008675,0.23,0.98235655,300.5076,0.03174141425,0.002560401475,0.0114803635,0.0,0.0,0.006342566,0.014012257625,0.014012257625,0.4533547475,17.34405325,0.0314850225,4.75993e-07,0.01133929325,3.938e-09,7.4245e-08,0.00639642875,0.01413123675,0.00348437835,361.0306525,390.329805,300.06065,300.2749425,300.5076,300.5032625,300.502685,300.49957,300.506085,300.5045375,300.4791275,240.5137025,10.90555075,10.064866,92.362305,2309.5881,19.27686525,9.89299625,1.11075915,99.265392,28264.4135,0.08811470875,0.02975137525,0.0885589465,0.2567634475,0.25788002,0.2579814675,0.256078065,0.02401204385,0.03436708125,0.034301815725,0.031485498493,1.028703
