Time;s,ICE_Speed;rpm,ICE_Torque;Nm,ICE_Power;kW,fuel_soll;mg,VTG;1,p_amb;bar,T_amb;K,NO_in_m;gps,NO2_in_m;gps,CO_in_m;gps,NH3_in_m;gps,CO2_in_m;gps,Propylene_in_m;gps2,Diesel_vap_in_m;gps,Diesel_vap_ads_in_m;gps,O2_in_m;gps,N2_in_m;gps,NO_out_m;gps,NO2_out_m;gps,CO_out_m;gps,NH3_out_m;gps,CO2_out_m;gps,Propylene_out_m;gps,Diesel_vap_out_m;gps,Diesel_vap_ads_out_m;gps,T_Wall_SCR1;K,T_avg_SCR1;K,T_Wall_DOC;K,T_avg_DOC;K,T_Wall_DPF;K,T_Sub_DPF;K,T_Wall_SCR2;K,T_avg_SCR2;K,T_Wall_SCR3;K,T_avg_SCR3;K,T_Tailpipe;K,ICE_BSFC;bar,ICE_IMEP_720;bar,ICE_BMEP;bar,Cyl_pmax;bar,Cyl_Tmax;K,Cyl_10_90;CA,mfb50;CA,Cyl_Lambda;1,CombEff;perc,Turb_Speed;rpm,Turb_Power;kW,Turb_Torque;Nm,Turb_brake_Power;kW,fuel_mf_c1;gps,fuel_mf_c2;gps,fuel_mf_c3;gps,fuel_mf_c4;gps,THC_out_m;gps,THC_in_m;gps,NOx_in_m;gps,NOx_out_m;gps,tot_burned_fuel;gps
0.0,2138.5483,-32.340748,-7.242655,47.25646,0.58,0.972568,262.8688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5586896,0.0,0.0,0.0,4e-12,0.0,0.0,0.0,0.0,262.8688,265.95557,262.8688,264.463,262.8688,262.86926,262.8688,263.06583,262.8688,262.97446,262.8655,-1540.6508,-1.0097622,-2.0646033,33.597256,615.7111,0.0,0.0,1.0206913,0.0,15594.583,0.083671995,0.050740276,0.014752748,0.7243365,0.7751548,0.8062621,0.7952115,0.0,0.0,0.0,0.0,3.1009649
0.5,2138.6014375,113.58590325,25.4382434,47.260781875,0.40833075625,0.972568,262.8688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.331602125,0.0,0.0,0.0,2.5e-11,0.0,0.0,0.0,4.7e-11,270.0875675,346.9018825,262.8454875,261.46744875,262.8688,262.86891,262.87321875,262.8644925,262.8712075,262.8671525,262.7863925,-168.954765,8.40684531875,7.2512188125,70.76245275,1920.2006375,9.3789685,9.43795,1.1178125375,189.125433125,34256.400375,0.34934567,0.09517217725,-0.04702858125,0.564710445,0.55679493125,0.5606338225,0.5610898325,4.7e-11,0.0,0.0,0.0,2.24322903125
1.0,2661.865509090909,134.631356818182,37.820402,49.313672454545,0.23,0.972568,262.8688,0.079058865091,0.006377233945,0.004350734227,0.0,0.0,0.006854395164,0.015143010818,0.015143010818,2.543568106364,48.453051,0.005308627282,0.000149260215,0.002216856133,1.37e-10,5.888e-09,0.005050756491,0.0111583392,0.005500885689,301.607841818182,427.134095454545,262.442953636364,257.714649090909,262.8688,262.849076363636,262.872924545455,262.881692727273,262.872099090909,262.894587272727,262.754797272727,315.224531818182,13.066713636364,8.594741218182,101.109461272727,2151.8214,20.465955727273,7.673330990909,1.328576027273,99.909733181818,65856.24690909091,1.346283940909,0.190784048182,0.912369313,0.821570657273,0.827896881818,0.8188711,0.822923331818,0.02170998138,0.0371404168,0.085436099036,0.005457887497,3.291261970909
1.5,3390.06312,177.526647,63.1491722,52.8727831,0.23,0.972568,262.8688,0.0884746222,0.0071367504,0.00560912875,0.0,0.0,0.0117519128,0.0259628075,0.0259628075,4.08884872,69.1293051,0.1076666728,0.001000805681,0.00670520138,1.91e-10,5.866e-09,0.01072903545,0.0237030909,0.0137605396,345.14505,496.128148,262.18969,261.138332,262.8688,262.816116,262.871662,262.859028,262.884208,262.899957,262.650366,254.929,13.87927855,11.3331367,105.1562746,2087.61022,28.2559665,8.63732053,1.30435429,99.8467342,89215.7535,2.91033058,0.309755012,2.3819765,1.10575249,1.10781607,1.09814022,1.10396447,0.04819266595,0.0636775278,0.0956113726,0.108667478481,4.41567325
2.0,3427.11,215.876396666667,77.475046,56.194970777778,0.23,0.972568,262.8688,0.083174861667,0.006709248422,0.005964764244,0.0,0.0,0.009389519233,0.020743711667,0.020743711667,5.185236,79.89304,0.090488231556,0.000918770716,0.005806961144,2.17e-10,1.0625e-08,0.011476965389,0.025355249778,0.015879436222,384.903701111111,535.566861111111,262.502343333333,267.632412222222,262.8688,262.836202222222,262.868942222222,262.865748888889,262.894123333333,262.906078888889,262.580986666667,236.997342222222,15.610265277778,13.781349444444,116.067280333333,2096.847155555556,30.299244444444,9.323827555556,1.333854711111,99.911485666667,105858.37222222221,4.222994433333,0.380204764444,3.7765744,1.2735956,1.281601411111,1.270339433333,1.273546755556,0.052711651389,0.050876942567,0.089884110089,0.091407002271,5.0990832
2.5,3416.40088,251.223448,89.8124304,59.5182769,0.23,0.972568,262.8688,0.1010801294,0.00815356603,0.00673682748,0.0,0.0,0.00842842226,0.0186204171,0.0186204171,6.27894305,89.3366536,0.0900504953,0.000778296562,0.00670246604,2.85e-10,7.262e-09,0.00827614318,0.0182839856,0.01233228315,426.287118,575.979841,263.577491,277.473834,262.868797,262.981212,262.876747,262.95756,262.899226,262.921891,262.507956,231.25723,17.5805741,16.0378724,124.9033301,2124.00095,32.0344955,10.611067,1.35873378,99.9101796,118817.9909,5.66635611,0.454712684,5.2728569,1.43605719,1.44596698,1.43367686,1.43460315,0.03889241193,0.04566925646,0.10923369543,0.090828791862,5.75030418
3.0,2783.09159,351.988736,102.0136026,60.56697,0.23,0.972568,262.8688,0.1533769625,0.0123720572,0.00669727218,0.0,0.0,0.00831393191,0.0183674795,0.0183674795,6.82461051,88.2439634,0.1019849116,0.000625611063,0.0067670693,8.72e-10,8.116e-09,0.00887922714,0.0196163488,0.01340210285,465.485544,589.009079,265.522134,287.54083,262.868785,263.296293,262.911568,263.139292,262.906354,262.93139,262.535839,192.802457,21.2157164,22.4706345,148.335407,2227.10084,28.8276759,9.633963,1.38939054,99.910031,124547.70150000001,5.5823985,0.427714252,5.68311475,1.36529513,1.37235045,1.36593558,1.36642875,0.04189767879,0.04504889091,0.1657490197,0.102610522663,5.47000991
3.5,2153.708922222222,339.877736666667,76.710280555556,60.56697,0.23,0.972568,262.8688,0.184644772222,0.014894255667,0.002093311263,0.0,0.0,0.010564679167,0.023339922333,0.023339922333,5.458269544444,69.816546555556,0.132839909556,0.00032486652,0.003559576067,1.422e-09,6.927e-09,0.008377189111,0.018507239333,0.011486511389,490.898471111111,581.96713,267.862646666667,294.925186666667,262.868804444444,263.61133,262.970108888889,263.31932,262.913313333333,262.9442,262.674715555556,204.627881111111,22.695432,21.697480222222,151.083134444444,2294.162077777778,24.634366888889,10.268597555556,1.376770622222,99.912758333333,116970.3328888889,3.7002946,0.301864093333,3.978026755556,1.087027855556,1.087027855556,1.087027855556,1.086848744444,0.038370939833,0.057244523833,0.199539027889,0.133164776076,4.347932311111
4.0,2138.5483,325.076478888889,72.800314777778,60.56697,0.23,0.972568,262.8688,0.172984357778,0.013953675111,0.0,0.0,0.0,0.012351380556,0.027287176778,0.027287176778,4.856832311111,64.297049111111,0.161333543333,0.000157460328,1.2342624e-05,2.194e-09,1.2637e-08,0.012720523444,0.028102643,0.016501978111,512.751258888889,596.009351111111,270.618968888889,302.03349,262.868866666667,263.929803333333,263.049823333333,263.513016666667,262.922667777778,262.968665555556,262.710535555556,208.824757777778,22.263026,20.752581555556,147.11956,2344.016166666666,24.166072444444,10.192972333333,1.349300833333,99.913275555556,111500.73333333334,3.344675288889,0.286432725556,3.459543011111,1.057031955556,1.0589175,1.056212211111,1.050748266667,0.057325144556,0.066925734111,0.186938032889,0.161491003661,4.222909933333
4.5,2180.441433333334,297.145094444444,67.665373,60.56697,0.23,0.972568,262.8688,0.163573553333,0.013194558889,0.0,0.0,0.0,0.010602490167,0.023423455667,0.023423455667,4.308456144444,61.210333777778,0.151607922222,0.000111426057,0.0,3.558e-09,1.3258e-08,0.010903696333,0.024088884,0.014084693167,532.961656666667,605.873677777778,273.733508888889,309.10909,262.868975555556,264.285011111111,263.149946666667,263.733396666667,262.933274444444,262.996762222222,262.732921111111,218.570175555556,21.385445,18.969468222222,143.967991111111,2327.888577777778,23.927732666667,9.9748345,1.323474133333,99.915474333333,108491.68233333333,3.158397177778,0.278010962222,3.205383588889,1.025580122222,1.025070811111,1.021547747778,1.017951222222,0.0490772735,0.0574494015,0.176768112222,0.151719348279,4.090149903333
