"","T","Speed","Speed.1","grade"
"1",0,0,6.84285163879433,8.00748974969612
"2",1,6.84285163879433,13.6857032775887,8.00734867493021
"3",2,13.6857032775887,18.104483703728,8.0072075190814
"4",3,18.104483703728,21,8.00706628014771
"5",4,21,21.3667973757156,8.00692495636823
"6",5,21.3667973757156,21.0910852329989,8.006783546741
"7",6,21.0910852329989,22.6951713824603,8.00664205010214
"8",7,22.6951713824603,24,8.00650046488995
"9",8,24,26.5022504218241,8.00635878956531
"10",9,26.5022504218241,26.9403338141385,8.00621702261115
"11",10,26.9403338141385,27.7957947336007,8.0060751625321
"12",11,27.7957947336007,27.7957947336007,8.00593320795952
"13",12,27.7957947336007,27.7957947336007,8.00579115782998
"14",13,27.7957947336007,29.630416745638,8.00564901109506
"15",14,29.630416745638,29,8.00550676672101
"16",15,29,30.7928323745745,8.00536442368851
"17",16,30.7928323745745,30.9823284803734,8.00522198099241
"18",17,30.9823284803734,30.2172146659884,8.00507943847273
"19",18,30.2172146659884,31.3578855957157,8.00493679704527
"20",19,31.3578855957157,32,8.00479405761332
"21",20,32,33,8.00465122106781
"22",21,33,34,8.0045082882876
"23",22,34,34,8.00436526013968
"24",23,34,35,8.00422221074715
"25",24,35,37,8.00407928559434
"26",25,37,38,8.00393662822578
"27",26,38,40,8.00379438028054
"28",27,40,41,8.0036526815258
"29",28,41,41,8.00351166988973
"30",29,41,42,8.00337134275206
"31",30,42,42,8.0032316202987
"32",31,42,42,8.0030924237521
"33",32,42,42,8.00295367535337
"34",33,42,42,8.00281529834483
"35",34,42,41,8.0026772135985
"36",35,41,37,8.0025393516587
"37",36,37,32,8.00240166276522
"38",37,32,25,8.00226409778773
"39",38,25,20,8.00212660821519
"40",39,20,18,8.00198914614549
"41",40,18,15,8.00185166427528
"42",41,15,10,8.00171411589007
"43",42,10,5,8.00157645295268
"44",43,5,3,8.00143862708838
"45",44,3,4,8.00130059051719
"46",45,4,8,8.00116230584745
"47",46,8,14,8.00102374100534
"48",47,14,19,8.00088486430658
"49",48,19,21,8.00074564445016
"50",49,21,22,8.00060609354292
"51",50,22,24,8.00046631948143
"52",51,24,28,8.00032642887267
"53",52,28,32,8.00018652705448
"54",53,32,33,8.00004671811565
"55",54,33,33,7.99990710491556
"56",55,33,35,7.99976778910349
"57",56,35,38,7.99962887112664
"58",57,38,40,7.99949034620247
"59",58,40,42,7.99935219018786
