"","T","Speed","Speed.1","grade"
"1",0,0,0,4.60852948518901
"2",1,0,0,4.60772439312229
"3",2,0,0,4.60692038524
"4",3,0,0,4.6061174799062
"5",4,0,0,4.60531566837841
"6",5,0,0,4.6045149420421
"7",6,0,0,4.60371529240818
"8",7,0,10.2642774582003,4.60291671111062
"9",8,10.2642774582003,18.4249418792274,4.60211918977245
"10",9,18.4249418792274,25.3739729515132,4.60132271601302
"11",10,25.3739729515132,27.1567255046319,4.60052727762851
"12",11,27.1567255046319,27.3714065552007,4.59973286258865
"13",12,27.3714065552007,29.031760740686,4.59893945997947
"14",13,29.031760740686,30.6021628390643,4.59814706011783
"15",14,30.6021628390643,29.2326749969262,4.5973556534563
"16",15,29.2326749969262,24.672252434699,4.59656523058072
"17",16,24.672252434699,25.3739729515132,4.59577599569776
"18",17,25.3739729515132,27.3714065552007,4.59498815398781
"19",18,27.3714065552007,27.3714065552007,4.5942019078077
"20",19,27.3714065552007,28.2138000681148,4.59341745674222
"21",20,28.2138000681148,27.7957947336244,4.5926349970076
"22",21,27.7957947336244,28.8294463833228,4.59185471796231
"23",22,28.8294463833228,29.2326749969262,4.59107680640595
"24",23,29.2326749969262,30.2172146660142,4.59030135419462
"25",24,30.2172146660142,32.4584952895901,4.58952833432199
"26",25,32.4584952895901,34.2142581940008,4.58875772014183
"27",26,34.2142581940008,33.870387556292,4.58798948536163
"28",27,33.870387556292,32.9950356874134,4.58722360758496
"29",28,32.9950356874134,32.4584952895901,4.58646007990268
"30",29,32.4584952895901,33.1719540294859,4.58569889549618
"31",30,33.1719540294859,32.8171636022883,4.58494004763578
"32",31,32.8171636022883,32.9950356874134,4.58418352913255
"33",32,32.9950356874134,33.5229897976198,4.58342933278352
"34",33,33.5229897976198,32,4.58267745823083
"35",34,32,33.1719540294859,4.58192790901735
"36",35,33.1719540294859,33.5229897976198,4.58118068864073
"37",36,33.5229897976198,33.870387556292,4.58043580055416
"38",37,33.870387556292,34.3849039178565,4.57969324458896
"39",38,34.3849039178565,36.5308311902814,4.57895300525669
"40",39,36.5308311902814,39,4.57821506780003
"41",40,39,40,4.57747941780456
"42",41,40,41,4.57674602205407
"43",42,41,40,4.57601484454717
"44",43,40,41,4.57528587947881
"45",44,41,41,4.57455913655714
"46",45,41,40,4.57383463329143
"47",46,40,39,4.57311238228639
"48",47,39,39,4.57239239656109
"49",48,39,37,4.57167468957247
"50",49,37,36,4.57095927461537
"51",50,36,35,4.57024616482508
"52",51,35,33,4.56953537048168
"53",52,33,32,4.56882689546563
"54",53,32,30,4.56812074361137
"55",54,30,25,4.56741691870804
"56",55,25,20,4.56671542449077
"57",56,20,16,4.56601626210023
"58",57,16,12,4.565319432243
"59",58,12,7,4.56462493561743
